年份 (Year),物件 (Property),團隊 (Team),有效營收 (Eff. Revenue),剛性大租金 (Big Rent),維護費 (Maint),毛利價差 (Spread),營業稅 (VAT 5%),稅前淨利,營所稅 (CIT 20%),稅後淨利 (Net Profit)
2026,永春四號,貓狗企鵝,"956,706","648,000","105,320","308,706","15,435","187,950","37,590","150,360"
2026,內湖秘境,鯰魚大大,"1,025,987","540,000","80,423","485,987","24,299","381,266","76,253","305,012"
2026,龍江229,貓狗企鵝,"779,304","324,000","9,535","455,304","22,765","423,004","84,601","338,403"
2026,哈拉對面,貓狗企鵝,"556,734","312,000","57,878","244,734","12,237","174,619","34,924","139,695"
2026,北醫醫師府,貓狗企鵝,"945,307","307,200","87,376","638,107","31,905","518,826","103,765","415,061"
2026,大湖山莊,貓狗企鵝,"1,168,737","465,600","31,390","703,137","35,157","636,591","127,318","509,273"
2026,士林和豐,鯰魚大大,"633,103","345,600","8,551","287,503","14,375","264,577","52,915","211,661"
2026,南港站挑高宅,貓狗企鵝,"733,440","438,000","24,389","295,440","14,772","256,279","51,256","205,023"
2026,市府爺爺家,貓狗企鵝,"237,571","144,000","9,987","93,571","4,679","78,905","15,781","63,124"
2026,金龍帽子先生,貓狗企鵝,"630,847","426,000","25,171","204,847","10,242","169,434","33,887","135,547"
2026,景安2分鐘,貓狗企鵝,"741,947","300,000","15,034","441,947","22,097","404,816","80,963","323,853"
2026,中山北娘家旁,貓狗企鵝,"609,204","276,000","12,482","333,204","16,660","304,062","60,812","243,250"
2026,行天宮夏野良栗,鯰魚大大,"882,052","477,600","31,697","404,452","20,223","352,532","70,506","282,025"
2026,中山北Feli家,貓狗企鵝,"914,764","432,000","8,761","482,764","24,138","449,865","89,973","359,892"
2026,書香民生,貓狗企鵝,"1,276,737","600,000","19,734","676,737","33,837","623,166","124,633","498,533"
2026,內湖CityLink,鯰魚大大,"870,963","396,000","1,700","474,963","23,748","449,515","89,903","359,612"
2026,天母搜狗,貓狗企鵝,"927,385","237,600","9,429","689,785","34,489","645,866","129,173","516,693"
2027,永春四號,貓狗企鵝,"956,706","648,000","105,320","308,706","15,435","187,950","37,590","150,360"
2027,內湖秘境,鯰魚大大,"1,025,987","540,000","80,423","485,987","24,299","381,266","76,253","305,012"
2027,龍江229,貓狗企鵝,"779,304","324,000","9,535","455,304","22,765","423,004","84,601","338,403"
2027,哈拉對面,貓狗企鵝,"556,734","312,000","57,878","244,734","12,237","174,619","34,924","139,695"
2027,北醫醫師府,貓狗企鵝,"945,307","307,200","87,376","638,107","31,905","518,826","103,765","415,061"
2027,大湖山莊,貓狗企鵝,"1,168,737","465,600","31,390","703,137","35,157","636,591","127,318","509,273"
2027,士林和豐,鯰魚大大,"369,310","201,600","4,988","167,710","8,386","154,336","30,867","123,469"
2027,南港站挑高宅,貓狗企鵝,"733,440","438,000","24,389","295,440","14,772","256,279","51,256","205,023"
2027,市府爺爺家,貓狗企鵝,"237,571","144,000","9,987","93,571","4,679","78,905","15,781","63,124"
2027,金龍帽子先生,貓狗企鵝,"630,847","426,000","25,171","204,847","10,242","169,434","33,887","135,547"
2027,景安2分鐘,貓狗企鵝,"741,947","300,000","15,034","441,947","22,097","404,816","80,963","323,853"
2027,中山北娘家旁,貓狗企鵝,"609,204","276,000","12,482","333,204","16,660","304,062","60,812","243,250"
2027,行天宮夏野良栗,鯰魚大大,"882,052","477,600","31,697","404,452","20,223","352,532","70,506","282,025"
2027,中山北Feli家,貓狗企鵝,"914,764","432,000","8,761","482,764","24,138","449,865","89,973","359,892"
2027,書香民生,貓狗企鵝,"1,276,737","600,000","19,734","676,737","33,837","623,166","124,633","498,533"
2027,內湖CityLink,鯰魚大大,"870,963","396,000","1,700","474,963","23,748","449,515","89,903","359,612"
2027,天母搜狗,貓狗企鵝,"927,385","237,600","9,429","689,785","34,489","645,866","129,173","516,693"
2028,永春四號,貓狗企鵝,"956,706","648,000","105,320","308,706","15,435","187,950","37,590","150,360"
2028,內湖秘境,鯰魚大大,"1,025,987","540,000","80,423","485,987","24,299","381,266","76,253","305,012"
2028,龍江229,貓狗企鵝,"779,304","324,000","9,535","455,304","22,765","423,004","84,601","338,403"
2028,哈拉對面,貓狗企鵝,"556,734","312,000","57,878","244,734","12,237","174,619","34,924","139,695"
2028,北醫醫師府,貓狗企鵝,"945,307","307,200","87,376","638,107","31,905","518,826","103,765","415,061"
2028,大湖山莊,貓狗企鵝,"1,168,737","465,600","31,390","703,137","35,157","636,591","127,318","509,273"
2028,南港站挑高宅,貓狗企鵝,"733,440","438,000","24,389","295,440","14,772","256,279","51,256","205,023"
2028,市府爺爺家,貓狗企鵝,"237,571","144,000","9,987","93,571","4,679","78,905","15,781","63,124"
2028,金龍帽子先生,貓狗企鵝,"630,847","426,000","25,171","204,847","10,242","169,434","33,887","135,547"
2028,景安2分鐘,貓狗企鵝,"741,947","300,000","15,034","441,947","22,097","404,816","80,963","323,853"
2028,中山北娘家旁,貓狗企鵝,"609,204","276,000","12,482","333,204","16,660","304,062","60,812","243,250"
2028,行天宮夏野良栗,鯰魚大大,"882,052","477,600","31,697","404,452","20,223","352,532","70,506","282,025"
2028,中山北Feli家,貓狗企鵝,"914,764","432,000","8,761","482,764","24,138","449,865","89,973","359,892"
2028,書香民生,貓狗企鵝,"1,276,737","600,000","19,734","676,737","33,837","623,166","124,633","498,533"
2028,內湖CityLink,鯰魚大大,"870,963","396,000","1,700","474,963","23,748","449,515","89,903","359,612"
2028,天母搜狗,貓狗企鵝,"927,385","237,600","9,429","689,785","34,489","645,866","129,173","516,693"
2029,永春四號,貓狗企鵝,"956,706","648,000","105,320","308,706","15,435","187,950","37,590","150,360"
2029,內湖秘境,鯰魚大大,"1,025,987","540,000","80,423","485,987","24,299","381,266","76,253","305,012"
2029,龍江229,貓狗企鵝,"779,304","324,000","9,535","455,304","22,765","423,004","84,601","338,403"
2029,哈拉對面,貓狗企鵝,"46,394","26,000","4,823","20,394","1,020","14,552","2,910","11,641"
2029,北醫醫師府,貓狗企鵝,"157,551","51,200","14,563","106,351","5,318","86,471","17,294","69,177"
2029,大湖山莊,貓狗企鵝,"292,184","116,400","7,847","175,784","8,789","159,148","31,830","127,318"
2029,南港站挑高宅,貓狗企鵝,"733,440","438,000","24,389","295,440","14,772","256,279","51,256","205,023"
2029,市府爺爺家,貓狗企鵝,"138,583","84,000","5,826","54,583","2,729","46,028","9,206","36,822"
2029,金龍帽子先生,貓狗企鵝,"630,847","426,000","25,171","204,847","10,242","169,434","33,887","135,547"
2029,景安2分鐘,貓狗企鵝,"741,947","300,000","15,034","441,947","22,097","404,816","80,963","323,853"
2029,中山北娘家旁,貓狗企鵝,"609,204","276,000","12,482","333,204","16,660","304,062","60,812","243,250"
2029,行天宮夏野良栗,鯰魚大大,"882,052","477,600","31,697","404,452","20,223","352,532","70,506","282,025"
2029,中山北Feli家,貓狗企鵝,"914,764","432,000","8,761","482,764","24,138","449,865","89,973","359,892"
2029,書香民生,貓狗企鵝,"1,276,737","600,000","19,734","676,737","33,837","623,166","124,633","498,533"
2029,內湖CityLink,鯰魚大大,"870,963","396,000","1,700","474,963","23,748","449,515","89,903","359,612"
2029,天母搜狗,貓狗企鵝,"927,385","237,600","9,429","689,785","34,489","645,866","129,173","516,693"
2030,永春四號,貓狗企鵝,"956,706","648,000","105,320","308,706","15,435","187,950","37,590","150,360"
2030,內湖秘境,鯰魚大大,"1,025,987","540,000","80,423","485,987","24,299","381,266","76,253","305,012"
2030,龍江229,貓狗企鵝,"779,304","324,000","9,535","455,304","22,765","423,004","84,601","338,403"
2030,南港站挑高宅,貓狗企鵝,"733,440","438,000","24,389","295,440","14,772","256,279","51,256","205,023"
2030,金龍帽子先生,貓狗企鵝,"420,565","284,000","16,781","136,565","6,828","112,956","22,591","90,365"
2030,景安2分鐘,貓狗企鵝,"741,947","300,000","15,034","441,947","22,097","404,816","80,963","323,853"
2030,中山北娘家旁,貓狗企鵝,"609,204","276,000","12,482","333,204","16,660","304,062","60,812","243,250"
2030,行天宮夏野良栗,鯰魚大大,"882,052","477,600","31,697","404,452","20,223","352,532","70,506","282,025"
2030,中山北Feli家,貓狗企鵝,"914,764","432,000","8,761","482,764","24,138","449,865","89,973","359,892"
2030,書香民生,貓狗企鵝,"1,276,737","600,000","19,734","676,737","33,837","623,166","124,633","498,533"
2030,內湖CityLink,鯰魚大大,"870,963","396,000","1,700","474,963","23,748","449,515","89,903","359,612"
2030,天母搜狗,貓狗企鵝,"927,385","237,600","9,429","689,785","34,489","645,866","129,173","516,693"
2031,永春四號,貓狗企鵝,"956,706","648,000","105,320","308,706","15,435","187,950","37,590","150,360"
2031,內湖秘境,鯰魚大大,"1,025,987","540,000","80,423","485,987","24,299","381,266","76,253","305,012"
2031,龍江229,貓狗企鵝,"129,884","54,000","1,589","75,884","3,794","70,501","14,100","56,400"
2031,南港站挑高宅,貓狗企鵝,"733,440","438,000","24,389","295,440","14,772","256,279","51,256","205,023"
2031,景安2分鐘,貓狗企鵝,"741,947","300,000","15,034","441,947","22,097","404,816","80,963","323,853"
2031,中山北娘家旁,貓狗企鵝,"609,204","276,000","12,482","333,204","16,660","304,062","60,812","243,250"
2031,行天宮夏野良栗,鯰魚大大,"661,539","358,200","23,773","303,339","15,167","264,399","52,880","211,519"
2031,中山北Feli家,貓狗企鵝,"914,764","432,000","8,761","482,764","24,138","449,865","89,973","359,892"
2031,書香民生,貓狗企鵝,"1,276,737","600,000","19,734","676,737","33,837","623,166","124,633","498,533"
2031,內湖CityLink,鯰魚大大,"870,963","396,000","1,700","474,963","23,748","449,515","89,903","359,612"
2031,天母搜狗,貓狗企鵝,"927,385","237,600","9,429","689,785","34,489","645,866","129,173","516,693"
2032,永春四號,貓狗企鵝,"956,706","648,000","105,320","308,706","15,435","187,950","37,590","150,360"
2032,內湖秘境,鯰魚大大,"1,025,987","540,000","80,423","485,987","24,299","381,266","76,253","305,012"
2032,南港站挑高宅,貓狗企鵝,"733,440","438,000","24,389","295,440","14,772","256,279","51,256","205,023"
2032,景安2分鐘,貓狗企鵝,"741,947","300,000","15,034","441,947","22,097","404,816","80,963","323,853"
2032,中山北娘家旁,貓狗企鵝,"609,204","276,000","12,482","333,204","16,660","304,062","60,812","243,250"
2032,中山北Feli家,貓狗企鵝,"914,764","432,000","8,761","482,764","24,138","449,865","89,973","359,892"
2032,書香民生,貓狗企鵝,"1,276,737","600,000","19,734","676,737","33,837","623,166","124,633","498,533"
2032,內湖CityLink,鯰魚大大,"870,963","396,000","1,700","474,963","23,748","449,515","89,903","359,612"
2032,天母搜狗,貓狗企鵝,"927,385","237,600","9,429","689,785","34,489","645,866","129,173","516,693"
2033,永春四號,貓狗企鵝,"797,255","540,000","87,767","257,255","12,863","156,625","31,325","125,300"
2033,內湖秘境,鯰魚大大,"854,989","450,000","67,019","404,989","20,249","317,721","63,544","254,177"
2033,南港站挑高宅,貓狗企鵝,"733,440","438,000","24,389","295,440","14,772","256,279","51,256","205,023"
2033,景安2分鐘,貓狗企鵝,"741,947","300,000","15,034","441,947","22,097","404,816","80,963","323,853"
2033,中山北娘家旁,貓狗企鵝,"609,204","276,000","12,482","333,204","16,660","304,062","60,812","243,250"
2033,中山北Feli家,貓狗企鵝,"914,764","432,000","8,761","482,764","24,138","449,865","89,973","359,892"
2033,書香民生,貓狗企鵝,"1,276,737","600,000","19,734","676,737","33,837","623,166","124,633","498,533"
2033,內湖CityLink,鯰魚大大,"870,963","396,000","1,700","474,963","23,748","449,515","89,903","359,612"
2033,天母搜狗,貓狗企鵝,"927,385","237,600","9,429","689,785","34,489","645,866","129,173","516,693"
2034,南港站挑高宅,貓狗企鵝,"427,840","255,500","14,227","172,340","8,617","149,496","29,899","119,597"
2034,景安2分鐘,貓狗企鵝,"741,947","300,000","15,034","441,947","22,097","404,816","80,963","323,853"
2034,中山北娘家旁,貓狗企鵝,"456,903","207,000","9,361","249,903","12,495","228,047","45,609","182,437"
2034,中山北Feli家,貓狗企鵝,"762,304","360,000","7,301","402,304","20,115","374,888","74,978","299,910"
2034,書香民生,貓狗企鵝,"1,276,737","600,000","19,734","676,737","33,837","623,166","124,633","498,533"
2034,內湖CityLink,鯰魚大大,"870,963","396,000","1,700","474,963","23,748","449,515","89,903","359,612"
2034,天母搜狗,貓狗企鵝,"927,385","237,600","9,429","689,785","34,489","645,866","129,173","516,693"
2035,書香民生,貓狗企鵝,"531,974","250,000","8,223","281,974","14,099","259,652","51,930","207,722"
2035,內湖CityLink,鯰魚大大,"290,321","132,000",567,"158,321","7,916","149,838","29,968","119,871"
2035,天母搜狗,貓狗企鵝,"927,385","237,600","9,429","689,785","34,489","645,866","129,173","516,693"
